,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,-0.00025135314,-0.0005783344,-0.00020784615,-0.0009073854,-0.0022336636,-0.0027537579,-0.005511678,0.0036017161,-0.037050318,0.03327923,-0.17666082
1,-0.00010647551,-0.00077564287,-0.00045640868,0.00053063326,-0.0035213258,-0.0015365998,-0.0012643085,-0.0036186741,-0.030960767,0.035607114,-0.10095436
2,-0.00042354356,-0.00062064925,-0.0013933949,-0.0011313176,-0.00069624867,-0.0044733896,-0.0030729747,0.0050057694,-0.015537303,0.01891736,0.0049564466
3,-0.0008174838,-0.0003495547,-0.00039304377,-0.0026943947,-0.0033429272,-0.00406083,0.008388096,-0.005189585,0.0057708267,0.02932584,0.12108361
4,-0.00062199106,-0.00065866474,-0.00013070898,-0.0024254045,-0.0031569991,0.0019960431,0.010725036,-0.04667425,0.009932186,-0.04211784,-0.0066484003
5,-0.00026605572,-0.0009560056,-0.0012411387,-0.0008353247,-0.0021018055,0.0058203284,0.008396141,-0.036975283,-0.0010035791,-0.22592095,-0.15339784
6,-0.00051821343,-0.00047692622,-0.0026684583,-0.0034297945,-0.0012230146,0.0047858497,0.006377222,-0.015358053,0.010664531,-0.060118347,-0.12620702
7,-0.0011290177,-0.00071540574,-0.0020566038,-0.002313896,0.0038636494,0.00048850925,-0.0061066835,0.02379889,0.029892117,0.018758954,0.06575139
8,-0.0006794658,-0.0012772793,-0.0012774591,-0.0016304316,-3.2329976e-05,0.004811964,-0.01795919,-0.013309008,0.061052103,-0.07902235,0.013532698
9,-0.00031884704,-0.0017942997,-0.0018107601,-0.0007925695,0.004619871,-0.0049857413,-0.029327666,-0.0031887644,0.07642784,0.005010839,0.048594933
10,-0.0009772058,-0.0023115748,-0.0024817665,0.0028265722,0.0029929539,-0.020367455,-0.03415044,0.055206098,0.011037224,-0.0019716627,-0.046189334
11,-0.0017051264,-0.0013056891,-0.0012097283,0.00014301266,-0.0029641478,-0.013641426,-0.018677076,0.023047728,-0.148816,0.052855175,0.0040144636
12,-0.0018850812,-0.0011537123,-0.00059650006,0.0045146514,-0.008596342,-0.0010713191,0.00034918363,0.035933506,-0.17005362,-0.0073831505,-0.017715724
13,-0.0012352004,-0.0018477387,0.0022312424,0.002702439,-0.00603855,-0.0044466946,-0.0014139591,-0.04467638,-0.11749741,0.04653997,0.028745461
14,-0.00075167505,-0.0010701978,0.0008867363,-0.0032610027,-0.0034731028,-0.017577304,0.0025729802,0.053172488,0.031704582,0.051325593,0.052498266
15,-0.0018917473,-0.0009279287,0.0025746473,-0.006446595,-0.011465234,0.0024228117,0.02496888,0.0891771,-0.0027350779,0.010479857,0.036674514
16,-0.0016683525,0.0014934831,0.0011413108,-0.0026444593,-0.012780421,0.019084087,0.07238438,0.0144933555,0.05242394,0.0032492492,0.00489508
